,term,selected,coef
0,today,True,48.73025541105379
1,hut,True,37.95476111592514
2,action,True,32.75809980023004
3,expansion,True,32.22799017660247
4,di,True,26.94660532017698
5,paragraphs,True,26.596464813410808
6,recounted,True,25.73118543618812
7,deemed,True,25.589491407319475
8,paragraph,True,25.469586399498137
9,victorian,True,25.438892617538638
10,eighteenth,True,24.96393149303771
11,bachelor,True,24.699070167063258
12,feeling,True,24.283077417199113
13,garibaldi,True,24.183617047683352
14,interpreter,True,24.04869858857525
15,continued,True,24.03201785838722
16,hot,True,23.640652066034118
17,output,True,23.533888029833392
18,living,True,23.38540528218094
19,emma,True,23.30372736954481
20,renewed,True,23.286692942315565
21,hence,True,23.107764425143316
22,hoy,True,23.019679888651712
23,par,True,23.01131685131084
24,review,True,22.929006285953555
